net,length_um
net1,77.84µm
net2,73.16µm
net4,34.48µm
net3,30.88µm
net11,26.49µm
net18,24.3µm
bm_11_11[1],18.11µm
net6,16.48µm
net16,13.38µm
bm_00_00[0],12.33µm
bm_01_10[0],9.55µm
bm_11_11[0],9.41µm
bm_10_11[0],9.21µm
bm_10_01[1],8.93µm
bm_00_00[1],8.51µm
net17,7.94µm
net12,6.28µm
bm_11_01[1],6.21µm
bm_01_00[1],5.87µm
net14,5.8µm
bm_00_10[0],5.53µm
received[0],5.41µm
bm_01_00[0],5.19µm
bm_11_01[0],5.19µm
bm_00_10[1],4.85µm
bm_01_10[1],4.85µm
bm_10_01[0],4.85µm
bm_10_11[1],4.85µm
received[1],4.73µm
net9,3.76µm
net10,2.5µm
net5,2.16µm
net13,2.16µm
net15,2.16µm
net7,1.14µm
net8,1.14µm
