Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_27_61,VGND,li1,33.8100,87.0400,0.000005
FILLER_27_57,VGND,li1,32.6600,87.0400,0.000005
FILLER_27_53,VGND,li1,30.5900,87.0400,0.000005
FILLER_27_41,VGND,li1,27.1400,87.0400,0.000004
FILLER_27_29,VGND,li1,21.6200,87.0400,0.000003
FILLER_27_27,VGND,li1,18.1700,87.0400,0.000003
FILLER_27_15,VGND,li1,15.1800,87.0400,0.000003
FILLER_27_3,VGND,li1,9.6600,87.0400,0.000003
FILLER_26_65,VGND,li1,35.6500,81.6000,0.000002
FILLER_26_53,VGND,li1,32.6600,81.6000,0.000002
FILLER_26_41,VGND,li1,27.1400,81.6000,0.000001
FILLER_26_29,VGND,li1,21.6200,81.6000,0.000001
FILLER_26_27,VGND,li1,18.1700,81.6000,0.000001
FILLER_26_15,VGND,li1,15.1800,81.6000,0.000001
FILLER_26_3,VGND,li1,9.6600,81.6000,0.000001
FILLER_25_69,VGND,li1,37.4900,81.6000,0.000002
FILLER_25_57,VGND,li1,34.5000,81.6000,0.000002
FILLER_25_55,VGND,li1,31.0500,81.6000,0.000002
FILLER_25_51,VGND,li1,29.9000,81.6000,0.000002
FILLER_25_39,VGND,li1,26.2200,81.6000,0.000001
FILLER_25_27,VGND,li1,20.7000,81.6000,0.000001
FILLER_25_15,VGND,li1,15.1800,81.6000,0.000001
FILLER_25_3,VGND,li1,9.6600,81.6000,0.000001
FILLER_24_61,VGND,li1,34.0400,76.1600,0.000006
FILLER_24_53,VGND,li1,31.7400,76.1600,0.000005
FILLER_24_41,VGND,li1,27.1400,76.1600,0.000004
FILLER_24_29,VGND,li1,21.6200,76.1600,0.000004
FILLER_24_27,VGND,li1,18.1700,76.1600,0.000004
FILLER_24_15,VGND,li1,15.1800,76.1600,0.000004
FILLER_24_3,VGND,li1,9.6600,76.1600,0.000005
FILLER_23_68,VGND,li1,37.2600,76.1600,0.000006
FILLER_23_57,VGND,li1,33.5800,76.1600,0.000006
FILLER_23_55,VGND,li1,31.0500,76.1600,0.000005
FILLER_23_43,VGND,li1,28.0600,76.1600,0.000004
FILLER_23_31,VGND,li1,22.5400,76.1600,0.000004
FILLER_23_19,VGND,li1,17.0200,76.1600,0.000004
FILLER_23_7,VGND,li1,11.5000,76.1600,0.000005
FILLER_22_61,VGND,li1,34.0400,70.7200,0.000002
FILLER_22_53,VGND,li1,31.7400,70.7200,0.000002
FILLER_22_41,VGND,li1,27.1400,70.7200,0.000001
FILLER_22_29,VGND,li1,21.6200,70.7200,0.000001
FILLER_22_27,VGND,li1,18.1700,70.7200,0.000001
FILLER_22_15,VGND,li1,15.1800,70.7200,0.000001
FILLER_22_3,VGND,li1,9.6600,70.7200,0.000001
FILLER_21_69,VGND,li1,37.4900,70.7200,0.000003
FILLER_21_57,VGND,li1,34.5000,70.7200,0.000002
FILLER_21_55,VGND,li1,31.0500,70.7200,0.000002
FILLER_21_51,VGND,li1,29.9000,70.7200,0.000002
FILLER_21_39,VGND,li1,26.2200,70.7200,0.000001
FILLER_21_27,VGND,li1,20.7000,70.7200,0.000001
FILLER_21_15,VGND,li1,15.1800,70.7200,0.000001
FILLER_21_3,VGND,li1,9.6600,70.7200,0.000001
FILLER_20_69,VGND,li1,37.4900,65.2800,0.000007
FILLER_20_53,VGND,li1,31.2800,65.2800,0.000005
FILLER_20_41,VGND,li1,27.1400,65.2800,0.000004
FILLER_20_29,VGND,li1,21.6200,65.2800,0.000004
FILLER_20_27,VGND,li1,18.1700,65.2800,0.000004
FILLER_20_15,VGND,li1,15.1800,65.2800,0.000004
FILLER_20_3,VGND,li1,9.6600,65.2800,0.000004
FILLER_19_57,VGND,li1,33.1200,65.2800,0.000007
FILLER_19_55,VGND,li1,31.0500,65.2800,0.000005
FILLER_19_51,VGND,li1,29.9000,65.2800,0.000005
FILLER_19_39,VGND,li1,26.2200,65.2800,0.000004
FILLER_19_27,VGND,li1,20.7000,65.2800,0.000004
FILLER_19_15,VGND,li1,15.1800,65.2800,0.000004
FILLER_19_3,VGND,li1,9.6600,65.2800,0.000004
FILLER_18_68,VGND,li1,37.2600,59.8400,0.000003
FILLER_18_53,VGND,li1,31.2800,59.8400,0.000002
FILLER_18_41,VGND,li1,27.1400,59.8400,0.000002
FILLER_18_29,VGND,li1,21.6200,59.8400,0.000001
FILLER_18_27,VGND,li1,18.1700,59.8400,0.000001
FILLER_18_15,VGND,li1,15.1800,59.8400,0.000001
FILLER_18_3,VGND,li1,9.6600,59.8400,0.000001
FILLER_17_67,VGND,li1,37.0300,59.8400,0.000003
FILLER_17_57,VGND,li1,32.4300,59.8400,0.000003
FILLER_17_55,VGND,li1,31.0500,59.8400,0.000002
FILLER_17_51,VGND,li1,29.9000,59.8400,0.000002
FILLER_17_39,VGND,li1,26.2200,59.8400,0.000001
FILLER_17_27,VGND,li1,20.7000,59.8400,0.000001
FILLER_17_15,VGND,li1,15.1800,59.8400,0.000001
FILLER_17_3,VGND,li1,9.6600,59.8400,0.000001
FILLER_16_69,VGND,li1,37.4900,54.4000,0.000004
FILLER_16_65,VGND,li1,36.3400,54.4000,0.000004
FILLER_16_53,VGND,li1,32.6600,54.4000,0.000003
FILLER_16_41,VGND,li1,27.1400,54.4000,0.000002
FILLER_16_29,VGND,li1,21.6200,54.4000,0.000002
FILLER_16_27,VGND,li1,18.1700,54.4000,0.000002
FILLER_16_15,VGND,li1,15.1800,54.4000,0.000002
FILLER_16_3,VGND,li1,9.6600,54.4000,0.000002
FILLER_15_65,VGND,li1,35.6500,54.4000,0.000004
FILLER_15_57,VGND,li1,33.5800,54.4000,0.000003
FILLER_15_55,VGND,li1,31.0500,54.4000,0.000003
FILLER_15_51,VGND,li1,29.9000,54.4000,0.000003
FILLER_15_39,VGND,li1,26.2200,54.4000,0.000002
FILLER_15_27,VGND,li1,20.7000,54.4000,0.000002
FILLER_15_15,VGND,li1,15.1800,54.4000,0.000002
FILLER_15_3,VGND,li1,9.6600,54.4000,0.000002
FILLER_14_69,VGND,li1,37.4900,48.9600,0.000002
FILLER_14_65,VGND,li1,36.3400,48.9600,0.000002
FILLER_14_53,VGND,li1,32.6600,48.9600,0.000002
FILLER_14_41,VGND,li1,27.1400,48.9600,0.000001
FILLER_14_29,VGND,li1,21.6200,48.9600,0.000001
FILLER_14_27,VGND,li1,18.1700,48.9600,0.000001
FILLER_14_15,VGND,li1,15.1800,48.9600,0.000001
FILLER_14_3,VGND,li1,9.6600,48.9600,0.000001
FILLER_13_65,VGND,li1,35.6500,48.9600,0.000002
FILLER_13_57,VGND,li1,33.5800,48.9600,0.000002
FILLER_13_55,VGND,li1,31.0500,48.9600,0.000001
FILLER_13_51,VGND,li1,29.9000,48.9600,0.000001
FILLER_13_39,VGND,li1,26.2200,48.9600,0.000001
FILLER_13_27,VGND,li1,20.7000,48.9600,0.000001
FILLER_13_15,VGND,li1,15.1800,48.9600,0.000001
FILLER_13_3,VGND,li1,9.6600,48.9600,0.000001
FILLER_12_68,VGND,li1,37.2600,43.5200,0.000005
FILLER_12_53,VGND,li1,32.6600,43.5200,0.000004
FILLER_12_41,VGND,li1,27.1400,43.5200,0.000003
FILLER_12_29,VGND,li1,21.6200,43.5200,0.000003
FILLER_12_27,VGND,li1,18.1700,43.5200,0.000003
FILLER_12_15,VGND,li1,15.1800,43.5200,0.000003
FILLER_12_3,VGND,li1,9.6600,43.5200,0.000003
FILLER_11_68,VGND,li1,37.2600,43.5200,0.000005
FILLER_11_57,VGND,li1,32.2000,43.5200,0.000004
FILLER_11_55,VGND,li1,31.0500,43.5200,0.000004
FILLER_11_51,VGND,li1,29.9000,43.5200,0.000004
FILLER_11_39,VGND,li1,26.2200,43.5200,0.000003
FILLER_11_27,VGND,li1,20.7000,43.5200,0.000003
FILLER_11_15,VGND,li1,15.1800,43.5200,0.000003
FILLER_11_3,VGND,li1,9.6600,43.5200,0.000003
FILLER_10_68,VGND,li1,37.2600,38.0800,0.000003
FILLER_10_53,VGND,li1,32.6600,38.0800,0.000002
FILLER_10_41,VGND,li1,27.1400,38.0800,0.000002
FILLER_10_29,VGND,li1,21.6200,38.0800,0.000001
FILLER_10_27,VGND,li1,18.1700,38.0800,0.000001
FILLER_10_15,VGND,li1,15.1800,38.0800,0.000001
FILLER_10_3,VGND,li1,9.6600,38.0800,0.000001
FILLER_9_57,VGND,li1,32.4300,38.0800,0.000002
FILLER_9_55,VGND,li1,31.0500,38.0800,0.000002
FILLER_9_51,VGND,li1,29.9000,38.0800,0.000002
FILLER_9_39,VGND,li1,26.2200,38.0800,0.000001
FILLER_9_27,VGND,li1,20.7000,38.0800,0.000001
FILLER_9_15,VGND,li1,15.1800,38.0800,0.000001
FILLER_9_3,VGND,li1,9.6600,38.0800,0.000001
FILLER_8_61,VGND,li1,34.0400,32.6400,0.000002
FILLER_8_53,VGND,li1,31.7400,32.6400,0.000002
FILLER_8_41,VGND,li1,27.1400,32.6400,0.000001
FILLER_8_29,VGND,li1,21.6200,32.6400,0.000001
FILLER_8_27,VGND,li1,18.1700,32.6400,0.000001
FILLER_8_15,VGND,li1,15.1800,32.6400,0.000001
FILLER_8_3,VGND,li1,9.6600,32.6400,0.000001
FILLER_7_69,VGND,li1,37.4900,32.6400,0.000002
FILLER_7_57,VGND,li1,34.5000,32.6400,0.000002
FILLER_7_55,VGND,li1,31.0500,32.6400,0.000002
FILLER_7_51,VGND,li1,29.9000,32.6400,0.000002
FILLER_7_39,VGND,li1,26.2200,32.6400,0.000001
FILLER_7_27,VGND,li1,20.7000,32.6400,0.000001
FILLER_7_15,VGND,li1,15.1800,32.6400,0.000001
FILLER_7_3,VGND,li1,9.6600,32.6400,0.000001
FILLER_6_61,VGND,li1,34.0400,27.2000,0.000005
FILLER_6_53,VGND,li1,31.7400,27.2000,0.000005
FILLER_6_41,VGND,li1,27.1400,27.2000,0.000004
FILLER_6_29,VGND,li1,21.6200,27.2000,0.000003
FILLER_6_27,VGND,li1,18.1700,27.2000,0.000004
FILLER_6_15,VGND,li1,15.1800,27.2000,0.000004
FILLER_6_3,VGND,li1,9.6600,27.2000,0.000004
FILLER_5_69,VGND,li1,37.4900,27.2000,0.000006
FILLER_5_57,VGND,li1,34.5000,27.2000,0.000005
FILLER_5_55,VGND,li1,31.0500,27.2000,0.000005
FILLER_5_43,VGND,li1,28.0600,27.2000,0.000004
FILLER_5_31,VGND,li1,22.5400,27.2000,0.000003
FILLER_5_19,VGND,li1,17.0200,27.2000,0.000004
FILLER_5_7,VGND,li1,11.5000,27.2000,0.000004
FILLER_4_65,VGND,li1,35.6500,21.7600,0.000002
FILLER_4_53,VGND,li1,32.6600,21.7600,0.000002
FILLER_4_41,VGND,li1,27.1400,21.7600,0.000001
FILLER_4_29,VGND,li1,21.6200,21.7600,0.000001
FILLER_4_27,VGND,li1,18.1700,21.7600,0.000001
FILLER_4_15,VGND,li1,15.1800,21.7600,0.000001
FILLER_4_3,VGND,li1,9.6600,21.7600,0.000001
FILLER_3_69,VGND,li1,37.4900,21.7600,0.000002
FILLER_3_57,VGND,li1,34.5000,21.7600,0.000002
FILLER_3_55,VGND,li1,31.0500,21.7600,0.000001
FILLER_3_51,VGND,li1,29.9000,21.7600,0.000001
FILLER_3_39,VGND,li1,26.2200,21.7600,0.000001
FILLER_3_27,VGND,li1,20.7000,21.7600,0.000001
FILLER_3_15,VGND,li1,15.1800,21.7600,0.000001
FILLER_3_3,VGND,li1,9.6600,21.7600,0.000001
FILLER_2_65,VGND,li1,35.6500,16.3200,0.000005
FILLER_2_53,VGND,li1,32.6600,16.3200,0.000004
FILLER_2_41,VGND,li1,27.1400,16.3200,0.000003
FILLER_2_29,VGND,li1,21.6200,16.3200,0.000002
FILLER_2_27,VGND,li1,18.1700,16.3200,0.000002
FILLER_2_15,VGND,li1,15.1800,16.3200,0.000002
FILLER_2_3,VGND,li1,9.6600,16.3200,0.000002
