Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_27_61,VPWR,li1,33.8100,84.3200,1.799994
FILLER_27_57,VPWR,li1,32.6600,84.3200,1.799994
FILLER_27_53,VPWR,li1,30.5900,84.3200,1.799994
FILLER_27_41,VPWR,li1,27.1400,84.3200,1.799995
FILLER_27_29,VPWR,li1,21.6200,84.3200,1.799997
FILLER_27_27,VPWR,li1,18.1700,84.3200,1.799997
FILLER_27_15,VPWR,li1,15.1800,84.3200,1.799997
FILLER_27_3,VPWR,li1,9.6600,84.3200,1.799997
FILLER_26_65,VPWR,li1,35.6500,84.3200,1.799993
FILLER_26_53,VPWR,li1,32.6600,84.3200,1.799994
FILLER_26_41,VPWR,li1,27.1400,84.3200,1.799995
FILLER_26_29,VPWR,li1,21.6200,84.3200,1.799997
FILLER_26_27,VPWR,li1,18.1700,84.3200,1.799997
FILLER_26_15,VPWR,li1,15.1800,84.3200,1.799997
FILLER_26_3,VPWR,li1,9.6600,84.3200,1.799997
FILLER_25_69,VPWR,li1,37.4900,78.8800,1.799994
FILLER_25_57,VPWR,li1,34.5000,78.8800,1.799994
FILLER_25_55,VPWR,li1,31.0500,78.8800,1.799995
FILLER_25_51,VPWR,li1,29.9000,78.8800,1.799995
FILLER_25_39,VPWR,li1,26.2200,78.8800,1.799996
FILLER_25_27,VPWR,li1,20.7000,78.8800,1.799998
FILLER_25_15,VPWR,li1,15.1800,78.8800,1.799998
FILLER_25_3,VPWR,li1,9.6600,78.8800,1.799998
FILLER_24_61,VPWR,li1,34.0400,78.8800,1.799994
FILLER_24_53,VPWR,li1,31.7400,78.8800,1.799995
FILLER_24_41,VPWR,li1,27.1400,78.8800,1.799996
FILLER_24_29,VPWR,li1,21.6200,78.8800,1.799998
FILLER_24_27,VPWR,li1,18.1700,78.8800,1.799998
FILLER_24_15,VPWR,li1,15.1800,78.8800,1.799998
FILLER_24_3,VPWR,li1,9.6600,78.8800,1.799998
FILLER_23_68,VPWR,li1,37.2600,73.4400,1.799995
FILLER_23_57,VPWR,li1,33.5800,73.4400,1.799996
FILLER_23_55,VPWR,li1,31.0500,73.4400,1.799996
FILLER_23_43,VPWR,li1,28.0600,73.4400,1.799997
FILLER_23_31,VPWR,li1,22.5400,73.4400,1.799998
FILLER_23_19,VPWR,li1,17.0200,73.4400,1.799997
FILLER_23_7,VPWR,li1,11.5000,73.4400,1.799997
FILLER_22_61,VPWR,li1,34.0400,73.4400,1.799996
FILLER_22_53,VPWR,li1,31.7400,73.4400,1.799996
FILLER_22_41,VPWR,li1,27.1400,73.4400,1.799997
FILLER_22_29,VPWR,li1,21.6200,73.4400,1.799998
