net,length_um
net4,82.12µm
net1,80.95µm
_05_,54.93µm
clknet_1_1__leaf_clk,33.8µm
_11_,32.76µm
sym_cnt\[0\],28.535µm
state\[0\],27.77µm
sym_cnt\[1\],23.38µm
clk,22.66µm
clknet_1_0__leaf_clk,20.66µm
net2,18.44µm
clknet_0_clk,18.38µm
_06_,17.3µm
state\[1\],16.52µm
_07_,16µm
net6,14.92µm
_10_,13.54µm
_12_,13.12µm
_09_,12.9µm
net5,10.82µm
_01_,10.44µm
next_state\[1\],9.44µm
rst_n,9.3µm
sym_cnt\[2\],9.12µm
_03_,9.1µm
clr_me,8.96µm
sym_cnt\[3\],8.7µm
_00_,7.64µm
_08_,5.95µm
next_state\[0\],5.84µm
net3,5.56µm
start,4.61µm
_02_,4.46µm
frame_done,3.93µm
net7,2.76µm
_04_,1.84µm
