Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_7_189,VGND,li1,92.6900,32.6400,0.000000
FILLER_7_181,VGND,li1,90.6200,32.6400,0.000000
FILLER_7_169,VGND,li1,86.0200,32.6400,0.000000
FILLER_7_165,VGND,li1,82.1100,32.6400,0.000000
FILLER_7_153,VGND,li1,78.6600,32.6400,0.000000
FILLER_7_141,VGND,li1,73.1400,32.6400,0.000000
FILLER_7_137,VGND,li1,69.2300,32.6400,0.000000
FILLER_7_125,VGND,li1,65.7800,32.6400,0.000000
FILLER_7_113,VGND,li1,60.2600,32.6400,0.000000
FILLER_7_109,VGND,li1,56.3500,32.6400,0.000000
FILLER_7_97,VGND,li1,52.9000,32.6400,0.000000
FILLER_7_85,VGND,li1,47.3800,32.6400,0.000000
FILLER_7_81,VGND,li1,43.4700,32.6400,0.000000
FILLER_7_69,VGND,li1,40.0200,32.6400,0.000000
FILLER_7_57,VGND,li1,34.5000,32.6400,0.000000
FILLER_7_53,VGND,li1,30.5900,32.6400,0.000000
FILLER_7_41,VGND,li1,27.1400,32.6400,0.000000
FILLER_7_29,VGND,li1,21.6200,32.6400,0.000000
FILLER_7_27,VGND,li1,18.1700,32.6400,0.000000
FILLER_7_15,VGND,li1,15.1800,32.6400,0.000000
FILLER_7_3,VGND,li1,9.6600,32.6400,0.000000
FILLER_6_189,VGND,li1,92.6900,27.2000,0.000001
FILLER_6_177,VGND,li1,89.7000,27.2000,0.000001
FILLER_6_165,VGND,li1,84.1800,27.2000,0.000001
FILLER_6_153,VGND,li1,78.6600,27.2000,0.000001
FILLER_6_141,VGND,li1,73.1400,27.2000,0.000001
FILLER_6_139,VGND,li1,69.6900,27.2000,0.000001
FILLER_6_133,VGND,li1,68.0800,27.2000,0.000001
FILLER_6_121,VGND,li1,63.9400,27.2000,0.000001
FILLER_6_109,VGND,li1,58.4200,27.2000,0.000001
FILLER_6_97,VGND,li1,52.9000,27.2000,0.000001
FILLER_6_85,VGND,li1,47.3800,27.2000,0.000001
FILLER_6_83,VGND,li1,43.9300,27.2000,0.000001
FILLER_6_77,VGND,li1,42.3200,27.2000,0.000001
FILLER_6_65,VGND,li1,38.1800,27.2000,0.000001
FILLER_6_53,VGND,li1,32.6600,27.2000,0.000001
FILLER_6_41,VGND,li1,27.1400,27.2000,0.000001
FILLER_6_29,VGND,li1,21.6200,27.2000,0.000000
FILLER_6_27,VGND,li1,18.1700,27.2000,0.000000
FILLER_6_15,VGND,li1,15.1800,27.2000,0.000000
FILLER_6_3,VGND,li1,9.6600,27.2000,0.000000
FILLER_5_189,VGND,li1,92.6900,27.2000,0.000001
FILLER_5_181,VGND,li1,90.6200,27.2000,0.000001
FILLER_5_169,VGND,li1,86.0200,27.2000,0.000001
FILLER_5_167,VGND,li1,82.5700,27.2000,0.000001
FILLER_5_161,VGND,li1,80.9600,27.2000,0.000001
FILLER_5_149,VGND,li1,76.8200,27.2000,0.000001
FILLER_5_137,VGND,li1,71.3000,27.2000,0.000001
FILLER_5_125,VGND,li1,65.7800,27.2000,0.000001
FILLER_5_113,VGND,li1,60.2600,27.2000,0.000001
FILLER_5_109,VGND,li1,56.3500,27.2000,0.000001
FILLER_5_97,VGND,li1,52.9000,27.2000,0.000001
FILLER_5_85,VGND,li1,47.3800,27.2000,0.000001
FILLER_5_73,VGND,li1,41.8600,27.2000,0.000001
FILLER_5_57,VGND,li1,33.5800,27.2000,0.000001
FILLER_5_55,VGND,li1,31.0500,27.2000,0.000001
FILLER_5_51,VGND,li1,29.9000,27.2000,0.000001
FILLER_5_39,VGND,li1,26.2200,27.2000,0.000000
FILLER_5_27,VGND,li1,20.7000,27.2000,0.000000
FILLER_5_15,VGND,li1,15.1800,27.2000,0.000000
FILLER_5_3,VGND,li1,9.6600,27.2000,0.000000
FILLER_4_185,VGND,li1,90.8500,21.7600,0.000009
FILLER_4_177,VGND,li1,88.7800,21.7600,0.000009
FILLER_4_165,VGND,li1,84.1800,21.7600,0.000009
FILLER_4_153,VGND,li1,78.6600,21.7600,0.000009
FILLER_4_141,VGND,li1,73.1400,21.7600,0.000009
FILLER_4_139,VGND,li1,69.6900,21.7600,0.000009
FILLER_4_133,VGND,li1,68.0800,21.7600,0.000009
FILLER_4_121,VGND,li1,63.9400,21.7600,0.000009
FILLER_4_109,VGND,li1,58.4200,21.7600,0.000009
FILLER_4_97,VGND,li1,52.9000,21.7600,0.000009
FILLER_4_85,VGND,li1,47.3800,21.7600,0.000008
FILLER_4_83,VGND,li1,43.9300,21.7600,0.000008
FILLER_4_48,VGND,li1,28.5200,21.7600,0.000005
FILLER_4_41,VGND,li1,24.6100,21.7600,0.000004
FILLER_4_29,VGND,li1,21.6200,21.7600,0.000004
FILLER_4_26,VGND,li1,17.9400,21.7600,0.000004
FILLER_4_18,VGND,li1,15.6400,21.7600,0.000004
FILLER_4_6,VGND,li1,11.0400,21.7600,0.000004
FILLER_3_189,VGND,li1,92.6900,21.7600,0.000009
FILLER_3_181,VGND,li1,90.6200,21.7600,0.000009
FILLER_3_169,VGND,li1,86.0200,21.7600,0.000009
FILLER_3_167,VGND,li1,82.5700,21.7600,0.000009
FILLER_3_161,VGND,li1,80.9600,21.7600,0.000009
FILLER_3_149,VGND,li1,76.8200,21.7600,0.000009
FILLER_3_137,VGND,li1,71.3000,21.7600,0.000009
FILLER_3_125,VGND,li1,65.7800,21.7600,0.000009
FILLER_3_113,VGND,li1,60.2600,21.7600,0.000009
FILLER_3_108,VGND,li1,56.1200,21.7600,0.000009
FILLER_3_96,VGND,li1,52.4400,21.7600,0.000009
FILLER_3_52,VGND,li1,30.3600,21.7600,0.000006
FILLER_3_41,VGND,li1,25.0700,21.7600,0.000004
FILLER_3_27,VGND,li1,18.4000,21.7600,0.000004
FILLER_3_15,VGND,li1,15.1800,21.7600,0.000004
FILLER_3_3,VGND,li1,9.6600,21.7600,0.000004
FILLER_2_189,VGND,li1,92.6900,16.3200,0.000029
FILLER_2_177,VGND,li1,89.7000,16.3200,0.000029
FILLER_2_165,VGND,li1,84.1800,16.3200,0.000029
FILLER_2_153,VGND,li1,78.6600,16.3200,0.000029
FILLER_2_141,VGND,li1,73.1400,16.3200,0.000029
FILLER_2_132,VGND,li1,68.0800,16.3200,0.000029
FILLER_2_120,VGND,li1,63.4800,16.3200,0.000029
FILLER_2_108,VGND,li1,57.9600,16.3200,0.000029
FILLER_2_85,VGND,li1,45.3100,16.3200,0.000027
FILLER_2_79,VGND,li1,42.0900,16.3200,0.000026
FILLER_2_58,VGND,li1,32.4300,16.3200,0.000019
FILLER_2_21,VGND,li1,15.4100,16.3200,0.000013
FILLER_2_15,VGND,li1,13.8000,16.3200,0.000013
FILLER_2_3,VGND,li1,9.6600,16.3200,0.000013
FILLER_1_189,VGND,li1,92.6900,16.3200,0.000029
FILLER_1_181,VGND,li1,90.6200,16.3200,0.000029
FILLER_1_169,VGND,li1,86.0200,16.3200,0.000029
FILLER_1_167,VGND,li1,82.5700,16.3200,0.000029
FILLER_1_161,VGND,li1,80.9600,16.3200,0.000029
FILLER_1_149,VGND,li1,76.8200,16.3200,0.000029
FILLER_1_137,VGND,li1,71.3000,16.3200,0.000029
FILLER_1_125,VGND,li1,65.7800,16.3200,0.000029
FILLER_1_113,VGND,li1,60.2600,16.3200,0.000029
FILLER_1_111,VGND,li1,56.8100,16.3200,0.000029
FILLER_1_105,VGND,li1,55.2000,16.3200,0.000029
FILLER_1_57,VGND,li1,32.4300,16.3200,0.000019
FILLER_1_55,VGND,li1,31.0500,16.3200,0.000017
FILLER_1_31,VGND,li1,20.0100,16.3200,0.000013
FILLER_1_27,VGND,li1,18.8600,16.3200,0.000013
FILLER_1_15,VGND,li1,15.1800,16.3200,0.000013
FILLER_1_3,VGND,li1,9.6600,16.3200,0.000013
FILLER_0_189,VGND,li1,92.6900,10.8800,0.000005
FILLER_0_185,VGND,li1,91.5400,10.8800,0.000005
FILLER_0_173,VGND,li1,87.8600,10.8800,0.000005
FILLER_0_165,VGND,li1,82.1100,10.8800,0.000005
FILLER_0_153,VGND,li1,78.6600,10.8800,0.000005
FILLER_0_141,VGND,li1,73.1400,10.8800,0.000005
FILLER_0_137,VGND,li1,69.2300,10.8800,0.000005
FILLER_0_125,VGND,li1,65.7800,10.8800,0.000005
FILLER_0_113,VGND,li1,60.2600,10.8800,0.000005
FILLER_0_109,VGND,li1,56.3500,10.8800,0.000005
FILLER_0_97,VGND,li1,52.9000,10.8800,0.000004
FILLER_0_85,VGND,li1,47.3800,10.8800,0.000004
FILLER_0_83,VGND,li1,43.9300,10.8800,0.000004
FILLER_0_79,VGND,li1,42.7800,10.8800,0.000004
FILLER_0_57,VGND,li1,34.5000,10.8800,0.000004
FILLER_0_29,VGND,li1,19.3200,10.8800,0.000004
FILLER_0_19,VGND,li1,14.4900,10.8800,0.000004
FILLER_0_15,VGND,li1,13.3400,10.8800,0.000004
FILLER_0_3,VGND,li1,9.6600,10.8800,0.000004
hold3,VGND,li1,27.6000,21.7600,0.000005
hold2,VGND,li1,37.2600,27.2000,0.000001
hold1,VGND,li1,40.4800,21.7600,0.000008
clkbuf_1_1__f_clk,VGND,li1,50.6000,16.3200,0.000029
clkbuf_1_0__f_clk,VGND,li1,24.8400,16.3200,0.000012
clkbuf_0_clk,VGND,li1,37.2600,16.3200,0.000024
output4,VGND,li1,92.0000,21.7600,0.000009
output3,VGND,li1,15.6400,10.8800,0.000004
input2,VGND,li1,7.5900,21.7600,0.000004
input1,VGND,li1,84.1800,10.8800,0.000005
TAP_TAPCELL_ROW_7_45,VGND,li1,83.0300,32.3480,0.000000
TAP_TAPCELL_ROW_7_44,VGND,li1,70.1500,32.3480,0.000000
TAP_TAPCELL_ROW_7_43,VGND,li1,57.2700,32.3480,0.000000
TAP_TAPCELL_ROW_7_42,VGND,li1,44.3900,32.3480,0.000000
TAP_TAPCELL_ROW_7_41,VGND,li1,31.5100,32.3480,0.000000
TAP_TAPCELL_ROW_7_40,VGND,li1,18.6300,32.3480,0.000000
TAP_TAPCELL_ROW_6_39,VGND,li1,70.1500,27.4910,0.000001
TAP_TAPCELL_ROW_6_38,VGND,li1,44.3900,27.4910,0.000001
TAP_TAPCELL_ROW_6_37,VGND,li1,18.6300,27.4910,0.000000
TAP_TAPCELL_ROW_5_36,VGND,li1,83.0300,26.9080,0.000001
TAP_TAPCELL_ROW_5_35,VGND,li1,57.2700,26.9080,0.000001
TAP_TAPCELL_ROW_5_34,VGND,li1,31.5100,26.9080,0.000001
TAP_TAPCELL_ROW_4_33,VGND,li1,70.1500,22.0510,0.000009
TAP_TAPCELL_ROW_4_32,VGND,li1,44.3900,22.0510,0.000008
TAP_TAPCELL_ROW_4_31,VGND,li1,18.6300,22.0510,0.000004
TAP_TAPCELL_ROW_3_30,VGND,li1,83.0300,21.4680,0.000009
TAP_TAPCELL_ROW_3_29,VGND,li1,57.2700,21.4680,0.000009
TAP_TAPCELL_ROW_3_28,VGND,li1,31.5100,21.4680,0.000006
TAP_TAPCELL_ROW_2_27,VGND,li1,70.1500,16.6110,0.000029
TAP_TAPCELL_ROW_2_26,VGND,li1,44.3900,16.6110,0.000027
TAP_TAPCELL_ROW_2_25,VGND,li1,18.6300,16.6110,0.000013
TAP_TAPCELL_ROW_1_24,VGND,li1,83.0300,16.0280,0.000029
TAP_TAPCELL_ROW_1_23,VGND,li1,57.2700,16.0280,0.000029
TAP_TAPCELL_ROW_1_22,VGND,li1,31.5100,16.0280,0.000017
TAP_TAPCELL_ROW_0_21,VGND,li1,83.0300,11.1710,0.000005
TAP_TAPCELL_ROW_0_20,VGND,li1,70.1500,11.1710,0.000005
TAP_TAPCELL_ROW_0_19,VGND,li1,57.2700,11.1710,0.000005
TAP_TAPCELL_ROW_0_18,VGND,li1,44.3900,11.1710,0.000004
TAP_TAPCELL_ROW_0_17,VGND,li1,31.5100,11.1710,0.000004
TAP_TAPCELL_ROW_0_16,VGND,li1,18.6300,11.1710,0.000004
PHY_EDGE_ROW_7_Left_15,VGND,li1,6.2100,32.6400,0.000000
PHY_EDGE_ROW_6_Left_14,VGND,li1,6.2100,27.2000,0.000000
PHY_EDGE_ROW_5_Left_13,VGND,li1,6.2100,27.2000,0.000000
PHY_EDGE_ROW_4_Left_12,VGND,li1,6.2100,21.7600,0.000004
PHY_EDGE_ROW_3_Left_11,VGND,li1,6.2100,21.7600,0.000004
PHY_EDGE_ROW_2_Left_10,VGND,li1,6.2100,16.3200,0.000013
PHY_EDGE_ROW_1_Left_9,VGND,li1,6.2100,16.3200,0.000013
PHY_EDGE_ROW_0_Left_8,VGND,li1,6.2100,10.8800,0.000004
PHY_EDGE_ROW_7_Right_7,VGND,li1,93.6100,32.6400,0.000000
PHY_EDGE_ROW_6_Right_6,VGND,li1,93.6100,27.2000,0.000001
PHY_EDGE_ROW_5_Right_5,VGND,li1,93.6100,27.2000,0.000001
PHY_EDGE_ROW_4_Right_4,VGND,li1,93.6100,21.7600,0.000009
PHY_EDGE_ROW_3_Right_3,VGND,li1,93.6100,21.7600,0.000009
PHY_EDGE_ROW_2_Right_2,VGND,li1,93.6100,16.3200,0.000029
PHY_EDGE_ROW_1_Right_1,VGND,li1,93.6100,16.3200,0.000029
PHY_EDGE_ROW_0_Right_0,VGND,li1,93.6100,10.8800,0.000005
_35_,VGND,li1,34.0400,21.7600,0.000007
_34_,VGND,li1,40.0200,16.3200,0.000025
_33_,VGND,li1,49.2200,16.3200,0.000029
_32_,VGND,li1,36.3400,21.7600,0.000007
_31_,VGND,li1,24.3800,10.8800,0.000003
_30_,VGND,li1,24.8400,16.3200,0.000012
_29_,VGND,li1,17.0200,16.3200,0.000013
_28_,VGND,li1,30.8200,16.3200,0.000017
_27_,VGND,li1,20.0100,21.7600,0.000004
_26_,VGND,li1,17.4800,10.8800,0.000004
_25_,VGND,li1,22.7700,21.7600,0.000004
_24_,VGND,li1,42.7800,21.7600,0.000008
_23_,VGND,li1,34.2700,16.3200,0.000021
_22_,VGND,li1,40.7100,10.8800,0.000004
_21_,VGND,li1,43.2400,16.3200,0.000026
_20_,VGND,li1,46.0000,21.7600,0.000008
_19_,VGND,li1,48.5300,21.7600,0.000009
_18_,VGND,li1,43.0100,21.7600,0.000008
_17_,VGND,li1,38.4100,10.8800,0.000004
_16_,VGND,li1,30.1300,16.3200,0.000017
_15_,VGND,li1,30.1300,10.8800,0.000004
_14_,VGND,li1,26.2200,21.7600,0.000004
_13_,VGND,li1,19.5500,16.3200,0.000013
