Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_7_189,VPWR,li1,92.6900,29.9200,1.800000
FILLER_7_181,VPWR,li1,90.6200,29.9200,1.800000
FILLER_7_169,VPWR,li1,86.0200,29.9200,1.800000
FILLER_7_165,VPWR,li1,82.1100,29.9200,1.800000
FILLER_7_153,VPWR,li1,78.6600,29.9200,1.800000
FILLER_7_141,VPWR,li1,73.1400,29.9200,1.800000
FILLER_7_137,VPWR,li1,69.2300,29.9200,1.800000
FILLER_7_125,VPWR,li1,65.7800,29.9200,1.800000
FILLER_7_113,VPWR,li1,60.2600,29.9200,1.800000
FILLER_7_109,VPWR,li1,56.3500,29.9200,1.800000
FILLER_7_97,VPWR,li1,52.9000,29.9200,1.800000
FILLER_7_85,VPWR,li1,47.3800,29.9200,1.800000
FILLER_7_81,VPWR,li1,43.4700,29.9200,1.800000
FILLER_7_69,VPWR,li1,40.0200,29.9200,1.800000
FILLER_7_57,VPWR,li1,34.5000,29.9200,1.800000
FILLER_7_53,VPWR,li1,30.5900,29.9200,1.800000
FILLER_7_41,VPWR,li1,27.1400,29.9200,1.800000
FILLER_7_29,VPWR,li1,21.6200,29.9200,1.800000
FILLER_7_27,VPWR,li1,18.1700,29.9200,1.800000
FILLER_7_15,VPWR,li1,15.1800,29.9200,1.800000
FILLER_7_3,VPWR,li1,9.6600,29.9200,1.800000
FILLER_6_189,VPWR,li1,92.6900,29.9200,1.800000
FILLER_6_177,VPWR,li1,89.7000,29.9200,1.800000
FILLER_6_165,VPWR,li1,84.1800,29.9200,1.800000
FILLER_6_153,VPWR,li1,78.6600,29.9200,1.800000
FILLER_6_141,VPWR,li1,73.1400,29.9200,1.800000
FILLER_6_139,VPWR,li1,69.6900,29.9200,1.800000
FILLER_6_133,VPWR,li1,68.0800,29.9200,1.800000
FILLER_6_121,VPWR,li1,63.9400,29.9200,1.800000
FILLER_6_109,VPWR,li1,58.4200,29.9200,1.800000
FILLER_6_97,VPWR,li1,52.9000,29.9200,1.800000
FILLER_6_85,VPWR,li1,47.3800,29.9200,1.800000
FILLER_6_83,VPWR,li1,43.9300,29.9200,1.800000
FILLER_6_77,VPWR,li1,42.3200,29.9200,1.800000
FILLER_6_65,VPWR,li1,38.1800,29.9200,1.800000
FILLER_6_53,VPWR,li1,32.6600,29.9200,1.800000
FILLER_6_41,VPWR,li1,27.1400,29.9200,1.800000
FILLER_6_29,VPWR,li1,21.6200,29.9200,1.800000
FILLER_6_27,VPWR,li1,18.1700,29.9200,1.800000
