net,length_um
_14_,62.25µm
net3,38.76µm
_25_,38.54µm
net4,37.56µm
net16,37.38µm
net2,35.835µm
net14,33.74µm
net1,33.735µm
_32_,33.64µm
_09_,32.725µm
net18,32.04µm
net13,27.88µm
net17,27.44µm
net8,19.18µm
net12,17.82µm
_15_,16.495µm
net11,16.36µm
_28_,16.28µm
prev_10[1],14.54µm
net15,14.34µm
prev_01[3],13.32µm
prev_10[3],13.3µm
_29_,13.28µm
prev_01[1],12.86µm
_02_,11.46µm
_20_,11.45µm
_18_,11.18µm
net7,11.08µm
net5,10.98µm
_30_,10.86µm
_19_,10.78µm
prev_00[0],10.56µm
net6,10.4µm
prev_11[1],10.1µm
prev_11[3],10.1µm
_08_,9.965µm
prev_11[0],9.64µm
prev_11[2],9.64µm
_36_,9.4µm
_21_,9.04µm
net10,8.785µm
prev_00[1],8.72µm
prev_00[2],8.72µm
prev_00[3],8.72µm
prev_01[0],8.72µm
prev_01[2],8.72µm
prev_10[0],8.72µm
prev_10[2],8.72µm
_07_,8.32µm
_06_,7.8µm
_33_,7.52µm
_00_,7.22µm
_37_,6.54µm
_11_,6.24µm
_04_,5.86µm
_10_,5.82µm
net9,5.555µm
_27_,5.4µm
_03_,4.92µm
_22_,4.8µm
_31_,4.42µm
winner_state[1],4.27µm
_24_,4.02µm
winner_state[0],3.93µm
_13_,3.56µm
_16_,3.42µm
_12_,3.08µm
_26_,3.08µm
_01_,2.76µm
_23_,2.62µm
_05_,2.28µm
_38_,1.84µm
_35_,1.72µm
_17_,0.92µm
_34_,0.8µm
