Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_13_184,VGND,li1,90.8500,48.9600,0.000035
FILLER_13_180,VGND,li1,88.5500,48.9600,0.000035
FILLER_13_172,VGND,li1,86.4800,48.9600,0.000034
FILLER_13_166,VGND,li1,82.3400,48.9600,0.000034
FILLER_13_158,VGND,li1,80.0400,48.9600,0.000034
FILLER_13_154,VGND,li1,76.5900,48.9600,0.000033
FILLER_13_150,VGND,li1,75.4400,48.9600,0.000033
FILLER_13_138,VGND,li1,69.4600,48.9600,0.000032
FILLER_13_128,VGND,li1,64.6300,48.9600,0.000031
FILLER_13_113,VGND,li1,58.1900,48.9600,0.000028
FILLER_13_106,VGND,li1,55.6600,48.9600,0.000027
FILLER_13_101,VGND,li1,52.4400,48.9600,0.000026
FILLER_13_85,VGND,li1,45.0800,48.9600,0.000022
FILLER_13_80,VGND,li1,42.5500,48.9600,0.000021
FILLER_13_76,VGND,li1,40.7100,48.9600,0.000020
FILLER_13_63,VGND,li1,34.7300,48.9600,0.000015
FILLER_13_57,VGND,li1,33.1200,48.9600,0.000015
FILLER_13_54,VGND,li1,30.8200,48.9600,0.000013
FILLER_13_49,VGND,li1,28.5200,48.9600,0.000012
FILLER_13_41,VGND,li1,26.2200,48.9600,0.000009
FILLER_13_37,VGND,li1,22.7700,48.9600,0.000009
FILLER_13_29,VGND,li1,20.7000,48.9600,0.000010
FILLER_13_23,VGND,li1,16.5600,48.9600,0.000010
FILLER_13_15,VGND,li1,14.2600,48.9600,0.000010
FILLER_13_6,VGND,li1,9.6600,48.9600,0.000011
FILLER_12_184,VGND,li1,90.6200,43.5200,0.000097
FILLER_12_172,VGND,li1,87.4000,43.5200,0.000096
FILLER_12_160,VGND,li1,81.8800,43.5200,0.000093
FILLER_12_112,VGND,li1,57.2700,43.5200,0.000073
FILLER_12_101,VGND,li1,52.4400,43.5200,0.000068
FILLER_12_80,VGND,li1,42.5500,43.5200,0.000051
FILLER_12_59,VGND,li1,32.8900,43.5200,0.000034
FILLER_12_53,VGND,li1,31.2800,43.5200,0.000029
FILLER_12_41,VGND,li1,27.1400,43.5200,0.000023
FILLER_12_29,VGND,li1,21.6200,43.5200,0.000019
FILLER_12_27,VGND,li1,18.1700,43.5200,0.000019
FILLER_12_15,VGND,li1,15.1800,43.5200,0.000019
FILLER_12_3,VGND,li1,9.6600,43.5200,0.000019
FILLER_11_189,VGND,li1,92.6900,43.5200,0.000097
FILLER_11_185,VGND,li1,91.5400,43.5200,0.000097
FILLER_11_175,VGND,li1,86.2500,43.5200,0.000095
FILLER_11_169,VGND,li1,84.6400,43.5200,0.000095
FILLER_11_164,VGND,li1,81.8800,43.5200,0.000093
FILLER_11_152,VGND,li1,78.2000,43.5200,0.000091
FILLER_11_138,VGND,li1,69.4600,43.5200,0.000085
FILLER_11_111,VGND,li1,56.8100,43.5200,0.000073
FILLER_11_105,VGND,li1,54.0500,43.5200,0.000068
FILLER_11_98,VGND,li1,51.0600,43.5200,0.000065
FILLER_11_81,VGND,li1,43.0100,43.5200,0.000051
FILLER_11_77,VGND,li1,41.8600,43.5200,0.000051
FILLER_11_65,VGND,li1,36.1100,43.5200,0.000041
FILLER_11_57,VGND,li1,33.5800,43.5200,0.000034
FILLER_11_55,VGND,li1,31.0500,43.5200,0.000029
FILLER_11_51,VGND,li1,29.9000,43.5200,0.000029
FILLER_11_39,VGND,li1,26.2200,43.5200,0.000019
FILLER_11_27,VGND,li1,20.7000,43.5200,0.000019
FILLER_11_15,VGND,li1,15.1800,43.5200,0.000019
FILLER_11_3,VGND,li1,9.6600,43.5200,0.000019
FILLER_10_189,VGND,li1,92.6900,38.0800,0.000007
FILLER_10_177,VGND,li1,89.7000,38.0800,0.000007
FILLER_10_165,VGND,li1,84.1800,38.0800,0.000007
FILLER_10_153,VGND,li1,78.6600,38.0800,0.000007
FILLER_10_141,VGND,li1,73.1400,38.0800,0.000007
FILLER_10_139,VGND,li1,69.6900,38.0800,0.000007
FILLER_10_133,VGND,li1,68.0800,38.0800,0.000007
FILLER_10_121,VGND,li1,63.9400,38.0800,0.000007
FILLER_10_109,VGND,li1,55.8900,38.0800,0.000006
FILLER_10_103,VGND,li1,54.2800,38.0800,0.000006
FILLER_10_91,VGND,li1,50.1400,38.0800,0.000006
FILLER_10_85,VGND,li1,45.3100,38.0800,0.000005
FILLER_10_83,VGND,li1,43.9300,38.0800,0.000005
FILLER_10_77,VGND,li1,42.3200,38.0800,0.000005
FILLER_10_65,VGND,li1,38.1800,38.0800,0.000004
FILLER_10_53,VGND,li1,32.6600,38.0800,0.000003
FILLER_10_41,VGND,li1,27.1400,38.0800,0.000002
FILLER_10_29,VGND,li1,21.6200,38.0800,0.000002
FILLER_10_27,VGND,li1,18.1700,38.0800,0.000002
FILLER_10_15,VGND,li1,15.1800,38.0800,0.000002
FILLER_10_3,VGND,li1,9.6600,38.0800,0.000002
FILLER_9_189,VGND,li1,92.6900,38.0800,0.000007
FILLER_9_181,VGND,li1,90.6200,38.0800,0.000007
FILLER_9_169,VGND,li1,86.0200,38.0800,0.000007
FILLER_9_167,VGND,li1,82.5700,38.0800,0.000007
FILLER_9_161,VGND,li1,80.9600,38.0800,0.000007
FILLER_9_149,VGND,li1,76.8200,38.0800,0.000007
FILLER_9_137,VGND,li1,71.3000,38.0800,0.000007
FILLER_9_125,VGND,li1,65.7800,38.0800,0.000007
FILLER_9_113,VGND,li1,60.2600,38.0800,0.000007
FILLER_9_111,VGND,li1,56.8100,38.0800,0.000007
FILLER_9_105,VGND,li1,55.2000,38.0800,0.000006
FILLER_9_93,VGND,li1,51.0600,38.0800,0.000006
FILLER_9_81,VGND,li1,45.5400,38.0800,0.000005
FILLER_9_69,VGND,li1,40.0200,38.0800,0.000004
FILLER_9_57,VGND,li1,34.5000,38.0800,0.000003
FILLER_9_55,VGND,li1,31.0500,38.0800,0.000003
FILLER_9_51,VGND,li1,29.9000,38.0800,0.000003
FILLER_9_39,VGND,li1,26.2200,38.0800,0.000002
FILLER_9_27,VGND,li1,20.7000,38.0800,0.000002
FILLER_9_15,VGND,li1,15.1800,38.0800,0.000002
FILLER_9_3,VGND,li1,9.6600,38.0800,0.000002
FILLER_8_189,VGND,li1,92.6900,32.6400,0.000000
FILLER_8_177,VGND,li1,89.7000,32.6400,0.000000
FILLER_8_165,VGND,li1,84.1800,32.6400,0.000000
FILLER_8_153,VGND,li1,78.6600,32.6400,0.000000
FILLER_8_141,VGND,li1,73.1400,32.6400,0.000000
FILLER_8_139,VGND,li1,69.6900,32.6400,0.000000
FILLER_8_133,VGND,li1,68.0800,32.6400,0.000000
FILLER_8_121,VGND,li1,63.9400,32.6400,0.000000
FILLER_8_109,VGND,li1,58.4200,32.6400,0.000000
FILLER_8_97,VGND,li1,52.9000,32.6400,0.000000
FILLER_8_85,VGND,li1,47.3800,32.6400,0.000000
FILLER_8_83,VGND,li1,43.9300,32.6400,0.000000
FILLER_8_77,VGND,li1,42.3200,32.6400,0.000000
FILLER_8_65,VGND,li1,38.1800,32.6400,0.000000
FILLER_8_53,VGND,li1,32.6600,32.6400,0.000000
FILLER_8_41,VGND,li1,27.1400,32.6400,0.000000
FILLER_8_29,VGND,li1,21.6200,32.6400,0.000000
FILLER_8_27,VGND,li1,18.1700,32.6400,0.000000
FILLER_8_15,VGND,li1,15.1800,32.6400,0.000000
FILLER_8_3,VGND,li1,9.6600,32.6400,0.000000
FILLER_7_189,VGND,li1,92.6900,32.6400,0.000000
FILLER_7_181,VGND,li1,90.6200,32.6400,0.000000
FILLER_7_169,VGND,li1,86.0200,32.6400,0.000000
FILLER_7_167,VGND,li1,82.5700,32.6400,0.000000
FILLER_7_161,VGND,li1,80.9600,32.6400,0.000000
FILLER_7_149,VGND,li1,76.8200,32.6400,0.000000
FILLER_7_137,VGND,li1,71.3000,32.6400,0.000000
FILLER_7_125,VGND,li1,65.7800,32.6400,0.000000
FILLER_7_113,VGND,li1,60.2600,32.6400,0.000000
FILLER_7_111,VGND,li1,56.8100,32.6400,0.000000
FILLER_7_105,VGND,li1,55.2000,32.6400,0.000000
FILLER_7_93,VGND,li1,51.0600,32.6400,0.000000
FILLER_7_81,VGND,li1,45.5400,32.6400,0.000000
FILLER_7_69,VGND,li1,40.0200,32.6400,0.000000
FILLER_7_57,VGND,li1,34.5000,32.6400,0.000000
FILLER_7_55,VGND,li1,31.0500,32.6400,0.000000
FILLER_7_51,VGND,li1,29.9000,32.6400,0.000000
FILLER_7_39,VGND,li1,26.2200,32.6400,0.000000
FILLER_7_27,VGND,li1,20.7000,32.6400,0.000000
FILLER_7_15,VGND,li1,15.1800,32.6400,0.000000
FILLER_7_3,VGND,li1,9.6600,32.6400,0.000000
FILLER_6_189,VGND,li1,92.6900,27.2000,0.000000
FILLER_6_177,VGND,li1,89.7000,27.2000,0.000000
FILLER_6_165,VGND,li1,84.1800,27.2000,0.000000
FILLER_6_153,VGND,li1,78.6600,27.2000,0.000000
FILLER_6_141,VGND,li1,73.1400,27.2000,0.000000
FILLER_6_139,VGND,li1,69.6900,27.2000,0.000000
FILLER_6_133,VGND,li1,68.0800,27.2000,0.000000
FILLER_6_121,VGND,li1,63.9400,27.2000,0.000000
FILLER_6_109,VGND,li1,58.4200,27.2000,0.000000
FILLER_6_97,VGND,li1,52.9000,27.2000,0.000000
FILLER_6_85,VGND,li1,47.3800,27.2000,0.000000
FILLER_6_83,VGND,li1,43.9300,27.2000,0.000000
FILLER_6_77,VGND,li1,42.3200,27.2000,0.000000
FILLER_6_65,VGND,li1,38.1800,27.2000,0.000000
FILLER_6_53,VGND,li1,32.6600,27.2000,0.000000
FILLER_6_41,VGND,li1,27.1400,27.2000,0.000000
FILLER_6_29,VGND,li1,21.6200,27.2000,0.000000
FILLER_6_27,VGND,li1,18.1700,27.2000,0.000000
FILLER_6_15,VGND,li1,15.1800,27.2000,0.000000
FILLER_6_3,VGND,li1,9.6600,27.2000,0.000000
FILLER_5_189,VGND,li1,92.6900,27.2000,0.000000
FILLER_5_181,VGND,li1,90.6200,27.2000,0.000000
FILLER_5_169,VGND,li1,86.0200,27.2000,0.000000
FILLER_5_167,VGND,li1,82.5700,27.2000,0.000000
FILLER_5_161,VGND,li1,80.9600,27.2000,0.000000
FILLER_5_149,VGND,li1,76.8200,27.2000,0.000000
FILLER_5_137,VGND,li1,71.3000,27.2000,0.000000
FILLER_5_125,VGND,li1,65.7800,27.2000,0.000000
FILLER_5_113,VGND,li1,60.2600,27.2000,0.000000
FILLER_5_111,VGND,li1,56.8100,27.2000,0.000000
FILLER_5_105,VGND,li1,55.2000,27.2000,0.000000
FILLER_5_93,VGND,li1,51.0600,27.2000,0.000000
FILLER_5_81,VGND,li1,45.5400,27.2000,0.000000
FILLER_5_69,VGND,li1,40.0200,27.2000,0.000000
FILLER_5_57,VGND,li1,34.5000,27.2000,0.000000
FILLER_5_55,VGND,li1,31.0500,27.2000,0.000000
FILLER_5_51,VGND,li1,29.9000,27.2000,0.000000
FILLER_5_39,VGND,li1,26.2200,27.2000,0.000000
FILLER_5_27,VGND,li1,20.7000,27.2000,0.000000
FILLER_5_15,VGND,li1,15.1800,27.2000,0.000000
FILLER_5_3,VGND,li1,9.6600,27.2000,0.000000
FILLER_4_189,VGND,li1,92.6900,21.7600,0.000000
FILLER_4_177,VGND,li1,89.7000,21.7600,0.000000
FILLER_4_165,VGND,li1,84.1800,21.7600,0.000000
FILLER_4_153,VGND,li1,78.6600,21.7600,0.000000
FILLER_4_141,VGND,li1,73.1400,21.7600,0.000000
FILLER_4_139,VGND,li1,69.6900,21.7600,0.000000
FILLER_4_133,VGND,li1,68.0800,21.7600,0.000000
FILLER_4_121,VGND,li1,63.9400,21.7600,0.000000
FILLER_4_109,VGND,li1,58.4200,21.7600,0.000000
FILLER_4_97,VGND,li1,52.9000,21.7600,0.000000
FILLER_4_85,VGND,li1,47.3800,21.7600,0.000000
FILLER_4_83,VGND,li1,43.9300,21.7600,0.000000
FILLER_4_77,VGND,li1,42.3200,21.7600,0.000000
FILLER_4_65,VGND,li1,38.1800,21.7600,0.000000
FILLER_4_53,VGND,li1,32.6600,21.7600,0.000000
FILLER_4_41,VGND,li1,27.1400,21.7600,0.000000
FILLER_4_29,VGND,li1,21.6200,21.7600,0.000000
FILLER_4_27,VGND,li1,18.1700,21.7600,0.000000
FILLER_4_15,VGND,li1,15.1800,21.7600,0.000000
FILLER_4_3,VGND,li1,9.6600,21.7600,0.000000
FILLER_3_189,VGND,li1,92.6900,21.7600,0.000000
FILLER_3_181,VGND,li1,90.6200,21.7600,0.000000
FILLER_3_169,VGND,li1,86.0200,21.7600,0.000000
FILLER_3_167,VGND,li1,82.5700,21.7600,0.000000
FILLER_3_161,VGND,li1,80.9600,21.7600,0.000000
FILLER_3_149,VGND,li1,76.8200,21.7600,0.000000
FILLER_3_137,VGND,li1,71.3000,21.7600,0.000000
FILLER_3_125,VGND,li1,65.7800,21.7600,0.000000
FILLER_3_113,VGND,li1,60.2600,21.7600,0.000000
FILLER_3_111,VGND,li1,56.8100,21.7600,0.000000
FILLER_3_105,VGND,li1,55.2000,21.7600,0.000000
FILLER_3_93,VGND,li1,51.0600,21.7600,0.000000
FILLER_3_81,VGND,li1,45.5400,21.7600,0.000000
FILLER_3_69,VGND,li1,40.0200,21.7600,0.000000
FILLER_3_57,VGND,li1,34.5000,21.7600,0.000000
FILLER_3_55,VGND,li1,31.0500,21.7600,0.000000
FILLER_3_51,VGND,li1,29.9000,21.7600,0.000000
FILLER_3_39,VGND,li1,26.2200,21.7600,0.000000
FILLER_3_27,VGND,li1,20.7000,21.7600,0.000000
FILLER_3_15,VGND,li1,15.1800,21.7600,0.000000
FILLER_3_3,VGND,li1,9.6600,21.7600,0.000000
FILLER_2_189,VGND,li1,92.6900,16.3200,0.000031
FILLER_2_177,VGND,li1,89.7000,16.3200,0.000031
FILLER_2_165,VGND,li1,84.1800,16.3200,0.000028
FILLER_2_153,VGND,li1,78.6600,16.3200,0.000026
FILLER_2_141,VGND,li1,73.1400,16.3200,0.000024
FILLER_2_139,VGND,li1,69.6900,16.3200,0.000022
FILLER_2_133,VGND,li1,68.0800,16.3200,0.000022
FILLER_2_121,VGND,li1,63.9400,16.3200,0.000020
FILLER_2_109,VGND,li1,58.4200,16.3200,0.000017
FILLER_2_97,VGND,li1,52.9000,16.3200,0.000015
FILLER_2_85,VGND,li1,47.3800,16.3200,0.000013
FILLER_2_83,VGND,li1,43.9300,16.3200,0.000011
FILLER_2_77,VGND,li1,42.3200,16.3200,0.000011
FILLER_2_65,VGND,li1,38.1800,16.3200,0.000009
FILLER_2_53,VGND,li1,32.6600,16.3200,0.000007
FILLER_2_41,VGND,li1,27.1400,16.3200,0.000005
FILLER_2_29,VGND,li1,21.6200,16.3200,0.000004
FILLER_2_27,VGND,li1,18.1700,16.3200,0.000004
FILLER_2_15,VGND,li1,15.1800,16.3200,0.000004
FILLER_2_3,VGND,li1,9.6600,16.3200,0.000004
FILLER_1_185,VGND,li1,90.8500,16.3200,0.000031
FILLER_1_181,VGND,li1,89.7000,16.3200,0.000031
FILLER_1_169,VGND,li1,86.0200,16.3200,0.000029
FILLER_1_167,VGND,li1,82.5700,16.3200,0.000027
FILLER_1_161,VGND,li1,80.9600,16.3200,0.000027
FILLER_1_149,VGND,li1,76.8200,16.3200,0.000025
FILLER_1_137,VGND,li1,71.3000,16.3200,0.000023
FILLER_1_125,VGND,li1,65.7800,16.3200,0.000021
FILLER_1_113,VGND,li1,60.2600,16.3200,0.000018
FILLER_1_111,VGND,li1,56.8100,16.3200,0.000016
FILLER_1_105,VGND,li1,55.2000,16.3200,0.000016
FILLER_1_93,VGND,li1,51.0600,16.3200,0.000014
FILLER_1_81,VGND,li1,45.5400,16.3200,0.000012
FILLER_1_69,VGND,li1,40.0200,16.3200,0.000010
FILLER_1_57,VGND,li1,34.5000,16.3200,0.000008
FILLER_1_55,VGND,li1,31.0500,16.3200,0.000006
FILLER_1_51,VGND,li1,29.9000,16.3200,0.000006
FILLER_1_39,VGND,li1,26.2200,16.3200,0.000004
FILLER_1_27,VGND,li1,20.7000,16.3200,0.000004
FILLER_1_15,VGND,li1,15.1800,16.3200,0.000004
FILLER_1_3,VGND,li1,9.6600,16.3200,0.000004
FILLER_0_189,VGND,li1,92.6900,10.8800,0.000000
FILLER_0_181,VGND,li1,90.6200,10.8800,0.000000
FILLER_0_169,VGND,li1,86.0200,10.8800,0.000000
FILLER_0_165,VGND,li1,82.1100,10.8800,0.000000
FILLER_0_153,VGND,li1,78.6600,10.8800,0.000000
FILLER_0_141,VGND,li1,73.1400,10.8800,0.000000
FILLER_0_137,VGND,li1,69.2300,10.8800,0.000000
FILLER_0_125,VGND,li1,65.7800,10.8800,0.000000
FILLER_0_113,VGND,li1,60.2600,10.8800,0.000000
FILLER_0_109,VGND,li1,56.3500,10.8800,0.000000
FILLER_0_97,VGND,li1,52.9000,10.8800,0.000000
FILLER_0_85,VGND,li1,47.3800,10.8800,0.000000
FILLER_0_81,VGND,li1,43.4700,10.8800,0.000000
FILLER_0_69,VGND,li1,40.0200,10.8800,0.000000
FILLER_0_57,VGND,li1,34.5000,10.8800,0.000000
FILLER_0_53,VGND,li1,30.5900,10.8800,0.000000
FILLER_0_41,VGND,li1,27.1400,10.8800,0.000000
FILLER_0_29,VGND,li1,21.6200,10.8800,0.000000
FILLER_0_27,VGND,li1,18.1700,10.8800,0.000000
FILLER_0_15,VGND,li1,15.1800,10.8800,0.000000
FILLER_0_3,VGND,li1,9.6600,10.8800,0.000000
output18,VGND,li1,92.0000,43.5200,0.000097
output17,VGND,li1,92.0000,16.3200,0.000031
input16,VGND,li1,92.2300,48.9600,0.000035
input15,VGND,li1,89.4700,48.9600,0.000035
input14,VGND,li1,83.9500,48.9600,0.000034
input13,VGND,li1,77.5100,48.9600,0.000033
input12,VGND,li1,73.8300,48.9600,0.000033
input11,VGND,li1,65.5500,48.9600,0.000031
input10,VGND,li1,63.7100,48.9600,0.000030
input9,VGND,li1,53.5900,48.9600,0.000027
input8,VGND,li1,51.2900,48.9600,0.000026
input7,VGND,li1,41.6300,48.9600,0.000020
input6,VGND,li1,39.7900,48.9600,0.000019
input5,VGND,li1,29.6700,48.9600,0.000012
input4,VGND,li1,23.6900,48.9600,0.000009
input3,VGND,li1,17.7100,48.9600,0.000010
input2,VGND,li1,11.7300,48.9600,0.000011
input1,VGND,li1,7.5900,48.9600,0.000011
TAP_TAPCELL_ROW_13_75,VGND,li1,83.0300,48.6680,0.000034
TAP_TAPCELL_ROW_13_74,VGND,li1,70.1500,48.6680,0.000032
TAP_TAPCELL_ROW_13_73,VGND,li1,57.2700,48.6680,0.000027
TAP_TAPCELL_ROW_13_72,VGND,li1,44.3900,48.6680,0.000022
TAP_TAPCELL_ROW_13_71,VGND,li1,31.5100,48.6680,0.000013
TAP_TAPCELL_ROW_13_70,VGND,li1,18.6300,48.6680,0.000010
TAP_TAPCELL_ROW_12_69,VGND,li1,70.1500,43.8110,0.000086
TAP_TAPCELL_ROW_12_68,VGND,li1,44.3900,43.8110,0.000055
TAP_TAPCELL_ROW_12_67,VGND,li1,18.6300,43.8110,0.000019
TAP_TAPCELL_ROW_11_66,VGND,li1,83.0300,43.2280,0.000093
TAP_TAPCELL_ROW_11_65,VGND,li1,57.2700,43.2280,0.000073
TAP_TAPCELL_ROW_11_64,VGND,li1,31.5100,43.2280,0.000029
TAP_TAPCELL_ROW_10_63,VGND,li1,70.1500,38.3710,0.000007
TAP_TAPCELL_ROW_10_62,VGND,li1,44.3900,38.3710,0.000005
