net,length_um
net31,159.38µm
net32,158.59µm
net33,133.88µm
net34,123µm
net28,114.46µm
net27,109.3µm
net37,102.1µm
net29,95.94µm
net30,92.46µm
net36,88.04µm
net44,85.7µm
net42,85.58µm
clknet_1_0__leaf_clk,84.7µm
net24,74.48µm
net43,69.02µm
net23,67.84µm
clknet_1_1__leaf_clk,63.78µm
net38,62.54µm
net45,61.77µm
net35,61.6µm
clk,55.08µm
net18,54.86µm
net26,54.68µm
_067_,53.09µm
net25,49.76µm
_097_,49.58µm
net19,48.9µm
net22,48.48µm
net21,44.44µm
net20,39.54µm
_109_,37.74µm
_031_,35.65µm
_075_,35.32µm
_070_,34.38µm
_130_,32.63µm
_136_,32.5µm
net14,32.04µm
_041_,31.6µm
_113_,31.42µm
_126_,31.4µm
_084_,31.2µm
_060_,30.66µm
_141_,30.08µm
net3,30.08µm
net13,28.44µm
_033_,28.28µm
_043_,27.98µm
net15,27.46µm
bm_00_00[0],27.03µm
_069_,26.84µm
_118_,26.4µm
_112_,25.82µm
_071_,25.7µm
_114_,23.64µm
_009_,23.465µm
_023_,22.9µm
_102_,22.58µm
clknet_0_clk,22.48µm
bm_00_00[1],22.29µm
_054_,22.26µm
_083_,22.16µm
_019_,21.72µm
_123_,21.62µm
_055_,21.44µm
_025_,21.04µm
_027_,20.36µm
_072_,20.22µm
_045_,19.84µm
_115_,19.63µm
_032_,19.5µm
_039_,19.02µm
_061_,18.66µm
_117_,18.64µm
_140_,18.32µm
_042_,17.89µm
_038_,17.54µm
_040_,17.4µm
_096_,17.26µm
_048_,16.92µm
bm_11_11[1],16.89µm
_076_,16.3µm
_111_,16.22µm
_105_,16.1µm
current_metric_00[0],15.78µm
_110_,15.76µm
net5,15.69µm
_053_,15.52µm
_077_,15.5µm
current_metric_00[1],14.92µm
net2,14.7µm
_022_,14.62µm
_125_,14.62µm
_085_,14µm
_090_,13.8µm
_034_,13.71µm
_062_,13.38µm
_001_,13.24µm
_103_,13.24µm
current_metric_01[1],13.1µm
_004_,12.88µm
_016_,12.84µm
_131_,12.8µm
net7,12.78µm
current_metric_00[3],12.64µm
net16,12.62µm
_059_,12.52µm
_137_,12.5µm
_132_,12.48µm
_088_,12.24µm
_051_,12.14µm
net8,12.08µm
_063_,12.04µm
_116_,11.82µm
_036_,11.8µm
net11,11.8µm
_058_,11.76µm
_047_,11.72µm
_073_,11.72µm
_121_,11.7µm
rst_n,11.68µm
net12,11.58µm
_046_,11.5µm
_122_,11.46µm
_017_,11.38µm
net9,11.34µm
net40,11.32µm
_080_,11.12µm
net17,10.78µm
clr_me,10.76µm
_020_,10.64µm
_024_,10.42µm
_119_,10.4µm
current_metric_00[2],10.34µm
_104_,9.9µm
current_metric_11[3],9.88µm
_068_,9.78µm
_008_,9.625µm
_021_,9.52µm
current_metric_11[1],9.42µm
_052_,9.24µm
_081_,9.06µm
_035_,9.02µm
net6,9.02µm
current_metric_01[0],8.96µm
current_metric_10[0],8.96µm
current_metric_10[1],8.96µm
current_metric_10[2],8.96µm
current_metric_10[3],8.96µm
current_metric_11[0],8.96µm
current_metric_11[2],8.96µm
_074_,8.84µm
_010_,8.74µm
bm_11_11[0],8.71µm
current_metric_01[2],8.5µm
current_metric_01[3],8.5µm
_030_,8.2µm
_079_,8.16µm
_094_,8µm
_093_,7.98µm
_101_,7.82µm
bm_00_10[0],7.67µm
_129_,7.52µm
_133_,7.44µm
_014_,7.26µm
_092_,7.06µm
_005_,6.84µm
_037_,6.76µm
net10,6.72µm
_138_,6.6µm
_007_,6.42µm
bm_01_00[1],6.31µm
bm_11_01[1],6.31µm
_120_,6.3µm
_135_,6.26µm
_044_,6.18µm
net1,6.16µm
_078_,6.14µm
_091_,6.14µm
_013_,5.98µm
bm_10_01[1],5.97µm
_099_,5.94µm
_057_,5.7µm
_095_,5.68µm
bm_01_10[0],5.63µm
_100_,5.6µm
_011_,5.52µm
_066_,5.44µm
_108_,5.36µm
bm_00_10[1],5.29µm
bm_10_11[0],5.29µm
_086_,5.22µm
_012_,5.06µm
bm_01_10[1],4.95µm
_018_,4.94µm
_049_,4.9µm
_064_,4.88µm
_127_,4.88µm
_107_,4.76µm
bm_10_11[1],4.61µm
servivor_select_00,4.61µm
servivor_select_01,4.61µm
servivor_select_10,4.61µm
_028_,4.42µm
bm_10_01[0],4.27µm
net4,4.1µm
_015_,4.08µm
bm_01_00[0],3.93µm
bm_11_01[0],3.93µm
servivor_select_11,3.93µm
_050_,3.88µm
_106_,3.54µm
net39,3.54µm
_139_,3.44µm
_098_,3.42µm
_128_,3.42µm
net41,3.42µm
_000_,3.08µm
_134_,2.84µm
_065_,2.5µm
_006_,2.3µm
_029_,2.18µm
_056_,2.18µm
_089_,2.16µm
_087_,2.06µm
_003_,1.84µm
_124_,1.7µm
_082_,1.38µm
_002_,1.36µm
_026_,0.46µm
