Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_27_184,VPWR,li1,90.6200,84.3200,1.799973
FILLER_27_172,VPWR,li1,87.4000,84.3200,1.799974
FILLER_27_165,VPWR,li1,82.1100,84.3200,1.799976
FILLER_27_153,VPWR,li1,78.6600,84.3200,1.799977
FILLER_27_141,VPWR,li1,73.1400,84.3200,1.799979
FILLER_27_137,VPWR,li1,69.2300,84.3200,1.799981
FILLER_27_125,VPWR,li1,65.7800,84.3200,1.799982
FILLER_27_113,VPWR,li1,60.2600,84.3200,1.799983
FILLER_27_109,VPWR,li1,56.3500,84.3200,1.799985
FILLER_27_97,VPWR,li1,52.9000,84.3200,1.799986
FILLER_27_85,VPWR,li1,47.3800,84.3200,1.799988
FILLER_27_81,VPWR,li1,43.4700,84.3200,1.799989
FILLER_27_69,VPWR,li1,40.0200,84.3200,1.799990
FILLER_27_57,VPWR,li1,34.5000,84.3200,1.799992
FILLER_27_53,VPWR,li1,30.5900,84.3200,1.799993
FILLER_27_41,VPWR,li1,27.1400,84.3200,1.799995
FILLER_27_29,VPWR,li1,21.6200,84.3200,1.799996
FILLER_27_24,VPWR,li1,16.7900,84.3200,1.799996
FILLER_27_12,VPWR,li1,13.8000,84.3200,1.799996
FILLER_26_189,VPWR,li1,92.6900,84.3200,1.799973
FILLER_26_177,VPWR,li1,89.7000,84.3200,1.799973
FILLER_26_165,VPWR,li1,84.1800,84.3200,1.799975
FILLER_26_153,VPWR,li1,78.6600,84.3200,1.799977
FILLER_26_141,VPWR,li1,73.1400,84.3200,1.799979
FILLER_26_139,VPWR,li1,69.6900,84.3200,1.799981
FILLER_26_133,VPWR,li1,68.0800,84.3200,1.799981
FILLER_26_121,VPWR,li1,63.9400,84.3200,1.799982
FILLER_26_109,VPWR,li1,58.4200,84.3200,1.799984
FILLER_26_97,VPWR,li1,52.9000,84.3200,1.799986
FILLER_26_85,VPWR,li1,47.3800,84.3200,1.799988
FILLER_26_83,VPWR,li1,43.9300,84.3200,1.799989
FILLER_26_77,VPWR,li1,42.3200,84.3200,1.799989
FILLER_26_65,VPWR,li1,38.1800,84.3200,1.799991
FILLER_26_53,VPWR,li1,32.6600,84.3200,1.799993
FILLER_26_41,VPWR,li1,27.1400,84.3200,1.799995
FILLER_26_29,VPWR,li1,21.6200,84.3200,1.799996
FILLER_26_27,VPWR,li1,18.1700,84.3200,1.799996
FILLER_26_15,VPWR,li1,15.1800,84.3200,1.799996
FILLER_26_3,VPWR,li1,9.6600,84.3200,1.799996
FILLER_25_189,VPWR,li1,92.6900,78.8800,1.799997
FILLER_25_181,VPWR,li1,90.6200,78.8800,1.799997
FILLER_25_169,VPWR,li1,86.0200,78.8800,1.799997
FILLER_25_167,VPWR,li1,82.5700,78.8800,1.799997
FILLER_25_161,VPWR,li1,80.9600,78.8800,1.799997
FILLER_25_149,VPWR,li1,76.8200,78.8800,1.799997
FILLER_25_137,VPWR,li1,71.3000,78.8800,1.799997
FILLER_25_125,VPWR,li1,65.7800,78.8800,1.799997
FILLER_25_113,VPWR,li1,60.2600,78.8800,1.799997
FILLER_25_111,VPWR,li1,56.8100,78.8800,1.799997
FILLER_25_105,VPWR,li1,55.2000,78.8800,1.799997
FILLER_25_93,VPWR,li1,51.0600,78.8800,1.799997
FILLER_25_81,VPWR,li1,45.5400,78.8800,1.799997
FILLER_25_69,VPWR,li1,40.0200,78.8800,1.799997
FILLER_25_57,VPWR,li1,34.5000,78.8800,1.799997
FILLER_25_55,VPWR,li1,31.0500,78.8800,1.799998
FILLER_25_51,VPWR,li1,29.9000,78.8800,1.799998
FILLER_25_39,VPWR,li1,26.2200,78.8800,1.799998
FILLER_25_27,VPWR,li1,20.7000,78.8800,1.799999
FILLER_25_15,VPWR,li1,15.1800,78.8800,1.799998
FILLER_25_3,VPWR,li1,9.6600,78.8800,1.799998
FILLER_24_189,VPWR,li1,92.6900,78.8800,1.799997
FILLER_24_177,VPWR,li1,89.7000,78.8800,1.799997
FILLER_24_165,VPWR,li1,84.1800,78.8800,1.799997
FILLER_24_153,VPWR,li1,78.6600,78.8800,1.799997
FILLER_24_141,VPWR,li1,73.1400,78.8800,1.799997
FILLER_24_139,VPWR,li1,69.6900,78.8800,1.799997
FILLER_24_133,VPWR,li1,68.0800,78.8800,1.799997
FILLER_24_121,VPWR,li1,63.9400,78.8800,1.799997
FILLER_24_109,VPWR,li1,58.4200,78.8800,1.799997
FILLER_24_97,VPWR,li1,52.9000,78.8800,1.799997
FILLER_24_85,VPWR,li1,47.3800,78.8800,1.799997
FILLER_24_72,VPWR,li1,41.4000,78.8800,1.799997
FILLER_24_65,VPWR,li1,36.3400,78.8800,1.799997
FILLER_24_53,VPWR,li1,32.6600,78.8800,1.799997
FILLER_24_41,VPWR,li1,27.1400,78.8800,1.799998
FILLER_24_29,VPWR,li1,21.6200,78.8800,1.799999
FILLER_24_27,VPWR,li1,18.1700,78.8800,1.799999
FILLER_24_23,VPWR,li1,17.0200,78.8800,1.799999
FILLER_24_14,VPWR,li1,12.1900,78.8800,1.799998
FILLER_24_6,VPWR,li1,10.1200,78.8800,1.799998
FILLER_23_189,VPWR,li1,92.6900,73.4400,1.799986
FILLER_23_181,VPWR,li1,90.6200,73.4400,1.799986
FILLER_23_169,VPWR,li1,86.0200,73.4400,1.799986
FILLER_23_167,VPWR,li1,82.5700,73.4400,1.799986
FILLER_23_161,VPWR,li1,80.9600,73.4400,1.799986
FILLER_23_149,VPWR,li1,76.8200,73.4400,1.799986
FILLER_23_137,VPWR,li1,71.3000,73.4400,1.799986
FILLER_23_125,VPWR,li1,65.7800,73.4400,1.799986
FILLER_23_113,VPWR,li1,60.2600,73.4400,1.799986
FILLER_23_104,VPWR,li1,55.2000,73.4400,1.799986
FILLER_23_92,VPWR,li1,50.6000,73.4400,1.799986
FILLER_23_80,VPWR,li1,45.0800,73.4400,1.799986
