net,length_um
net17,118.55µm
net4,114.34µm
net2,107.755µm
net23,94.98µm
net21,92.76µm
net20,91.29µm
net16,90.915µm
net3,89.86µm
net5,80.875µm
clknet_2_3__leaf_clk,75.2µm
clknet_2_1__leaf_clk,73.72µm
net18,70.4µm
net22,68.84µm
_021_,66.36µm
clk,59.68µm
clknet_0_clk,58.66µm
net1,49.78µm
net58,48.44µm
net19,47.96µm
clknet_2_2__leaf_clk,47.7µm
Output_Select_Inst.decode_path_11\[5\],38.64µm
Output_Select_Inst.decode_path_10\[5\],38.02µm
net24,37.54µm
Output_Select_Inst.decode_path_01\[2\],34.78µm
Output_Select_Inst.decode_path_00\[5\],34.36µm
net6,32.16µm
Output_Select_Inst.decode_path_01\[6\],31.2µm
clknet_2_0__leaf_clk,29.42µm
Output_Select_Inst.decode_path_10\[2\],29.385µm
Output_Select_Inst.decode_path_00\[3\],29.32µm
Output_Select_Inst.decode_path_11\[6\],28.42µm
Output_Select_Inst.decode_path_10\[4\],26.9µm
Output_Select_Inst.decode_path_00\[6\],25.5µm
Output_Select_Inst.decode_path_11\[2\],24.76µm
Output_Select_Inst.decode_path_11\[4\],23.94µm
Output_Select_Inst.decode_path_10\[3\],21.78µm
Output_Select_Inst.decode_path_01\[4\],19.78µm
net41,19.74µm
Output_Select_Inst.decode_path_01\[3\],17.64µm
_017_,17.62µm
Output_Select_Inst.decode_path_11\[3\],17.26µm
Output_Select_Inst.decode_path_00\[2\],17.22µm
net48,16.96µm
net32,16.78µm
Output_Select_Inst.decode_path_11\[7\],14.65µm
_000_,14.58µm
Reg_Exchange_Inst.next_10\[6\],13.66µm
Reg_Exchange_Inst.next_11\[2\],13.38µm
Reg_Exchange_Inst.next_10\[7\],13.04µm
_002_,13µm
net54,12.66µm
net38,12.6µm
net36,12.58µm
_023_,12.48µm
net27,12.44µm
_018_,12.32µm
net7,12.28µm
net30,11.8µm
Reg_Exchange_Inst.next_01\[5\],11.7µm
Output_Select_Inst.decode_path_00\[4\],11.2µm
_016_,11.16µm
Output_Select_Inst.decode_path_10\[6\],11.08µm
Reg_Exchange_Inst.next_10\[4\],10.9µm
Reg_Exchange_Inst.next_11\[5\],10.86µm
net25,10.84µm
rst_n,10.76µm
net26,10.69µm
Output_Select_Inst.decode_path_10\[7\],10.62µm
decoded_out[7],10.51µm
net52,10.38µm
_015_,10.32µm
_013_,10.28µm
net44,10.28µm
_028_,10.22µm
net34,10.12µm
_014_,9.88µm
_027_,9.7µm
Output_Select_Inst.decode_path_00\[7\],9.38µm
net47,9.1µm
decoded_out[0],8.93µm
net59,8.9µm
_001_,8.86µm
net56,8.76µm
winner_state[0],8.72µm
winner_state[1],8.72µm
_025_,8.6µm
Reg_Exchange_Inst.next_11\[4\],8.56µm
net10,8.52µm
net14,8.52µm
net60,8.4µm
net49,8.36µm
Reg_Exchange_Inst.next_01\[4\],8.1µm
Reg_Exchange_Inst.next_00\[6\],8.02µm
_010_,7.74µm
Output_Select_Inst.decode_path_01\[5\],7.66µm
Reg_Exchange_Inst.next_00\[7\],7.2µm
_019_,6.94µm
net39,6.9µm
Reg_Exchange_Inst.next_11\[3\],6.78µm
Reg_Exchange_Inst.next_10\[5\],6.72µm
net13,6.6µm
net53,6.38µm
net31,6.3µm
decoded_out[5],6.09µm
survivor_select_00,6.09µm
survivor_select_10,6.09µm
net29,6.08µm
net42,5.98µm
net50,5.84µm
Output_Select_Inst.decode_path_10\[0\],5.82µm
Reg_Exchange_Inst.next_01\[7\],5.8µm
Reg_Exchange_Inst.next_11\[6\],5.8µm
net46,5.8µm
decoded_out[2],5.75µm
decoded_out[4],5.75µm
decoded_out[6],5.75µm
decoded_out[1],5.53µm
Reg_Exchange_Inst.next_00\[4\],5.46µm
survivor_select_01,5.41µm
Reg_Exchange_Inst.next_11\[7\],5.38µm
net35,5.38µm
net37,5.36µm
net12,5.22µm
net15,5.22µm
net28,5.1µm
net45,5.04µm
Reg_Exchange_Inst.next_01\[3\],5µm
net40,4.92µm
_009_,4.8µm
_022_,4.76µm
survivor_select_11,4.73µm
decoded_out[3],4.39µm
Output_Select_Inst.decode_path_01\[7\],4.2µm
Reg_Exchange_Inst.next_00\[5\],4µm
Reg_Exchange_Inst.next_01\[2\],4µm
net33,4µm
_024_,3.78µm
_026_,3.78µm
Reg_Exchange_Inst.next_10\[3\],3.56µm
_005_,3.22µm
_007_,3.08µm
net55,3.08µm
net51,2.76µm
Reg_Exchange_Inst.next_00\[3\],2.74µm
_004_,2.3µm
_020_,2.3µm
Reg_Exchange_Inst.next_10\[2\],2.28µm
Reg_Exchange_Inst.next_01\[6\],2.18µm
_003_,2.16µm
_008_,2.16µm
net11,2.16µm
net57,2.16µm
net8,2.04µm
net9,2.04µm
Reg_Exchange_Inst.next_00\[2\],1.84µm
_006_,1.84µm
_011_,1.84µm
net43,1.84µm
_012_,1.48µm
Output_Select_Inst.decode_path_01\[1\],0.46µm
