Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_27_97,VGND,li1,50.6000,87.0400,0.000001
FILLER_27_89,VGND,li1,48.3000,87.0400,0.000001
FILLER_27_85,VGND,li1,44.8500,87.0400,0.000001
FILLER_27_80,VGND,li1,43.2400,87.0400,0.000001
FILLER_27_65,VGND,li1,36.1100,87.0400,0.000000
FILLER_27_57,VGND,li1,33.5800,87.0400,0.000000
FILLER_27_53,VGND,li1,30.5900,87.0400,0.000000
FILLER_27_41,VGND,li1,27.1400,87.0400,0.000000
FILLER_27_29,VGND,li1,21.6200,87.0400,0.000000
FILLER_27_27,VGND,li1,18.1700,87.0400,0.000000
FILLER_27_19,VGND,li1,16.1000,87.0400,0.000000
FILLER_27_7,VGND,li1,11.5000,87.0400,0.000000
FILLER_26_93,VGND,li1,48.5300,81.6000,0.000002
FILLER_26_85,VGND,li1,46.4600,81.6000,0.000002
FILLER_26_80,VGND,li1,43.2400,81.6000,0.000002
FILLER_26_70,VGND,li1,38.4100,81.6000,0.000002
FILLER_26_47,VGND,li1,27.3700,81.6000,0.000001
FILLER_26_41,VGND,li1,25.7600,81.6000,0.000001
FILLER_26_29,VGND,li1,21.6200,81.6000,0.000001
FILLER_26_27,VGND,li1,18.1700,81.6000,0.000001
FILLER_26_15,VGND,li1,15.1800,81.6000,0.000001
FILLER_26_3,VGND,li1,9.6600,81.6000,0.000001
FILLER_25_77,VGND,li1,41.4000,81.6000,0.000002
FILLER_25_45,VGND,li1,26.6800,81.6000,0.000001
FILLER_25_35,VGND,li1,22.0800,81.6000,0.000001
FILLER_25_27,VGND,li1,19.7800,81.6000,0.000001
FILLER_25_15,VGND,li1,15.1800,81.6000,0.000001
FILLER_25_3,VGND,li1,9.6600,81.6000,0.000001
FILLER_24_100,VGND,li1,52.2100,76.1600,0.000005
FILLER_24_29,VGND,li1,19.7800,76.1600,0.000003
FILLER_24_27,VGND,li1,18.1700,76.1600,0.000003
FILLER_24_15,VGND,li1,15.1800,76.1600,0.000003
FILLER_24_3,VGND,li1,9.6600,76.1600,0.000003
FILLER_23_66,VGND,li1,36.3400,76.1600,0.000004
FILLER_23_15,VGND,li1,15.1800,76.1600,0.000003
FILLER_23_3,VGND,li1,9.6600,76.1600,0.000003
FILLER_22_101,VGND,li1,52.4400,70.7200,0.000008
FILLER_22_61,VGND,li1,34.2700,70.7200,0.000007
