Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,200
design__instance__area,2025.69
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00002801964910759125
power__switching__total,0.000007651049600099213
power__leakage__total,2.860234937784867E-9
power__total,0.000035673558159032837
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2564363793894195
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2555946637794946
timing__hold__ws__corner:nom_tt_025C_1v80,0.3329813186097032
timing__setup__ws__corner:nom_tt_025C_1v80,78.84819065283226
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.332981
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,98.715904
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.26071887053899884
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2592368892926647
timing__hold__ws__corner:nom_ss_100C_1v60,0.9327892056120888
timing__setup__ws__corner:nom_ss_100C_1v60,77.77699060495944
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.932789
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,97.567398
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2551307293199584
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2544897420385627
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11658663253692962
timing__setup__ws__corner:nom_ff_n40C_1v95,79.16748014560353
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.116587
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,99.081154
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25467861873596886
clock__skew__worst_setup,0.25410924084168673
timing__hold__ws,0.11408629919245705
timing__setup__ws,77.76558639372794
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.114086
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,97.563728
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 60.0 100.0
design__core__bbox,5.52 10.88 54.28 87.04
design__io,18
design__die__area,6000
design__core__area,3713.56
design__instance__count__stdcell,200
design__instance__area__stdcell,2025.69
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.545485
design__instance__utilization__stdcell,0.545485
design__instance__count__class:sequential_cell,34
design__instance__count__class:multi_input_combinational_cell,54
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,240
design__instance__count__class:tap_cell,45
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,2818.49
design__violations,0
design__instance__count__class:timing_repair_buffer,59
design__instance__count__class:clock_buffer,6
design__instance__count__class:clock_inverter,2
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,35
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,160
route__net__special,2
route__drc_errors__iter:1,24
route__wirelength__iter:1,3027
route__drc_errors__iter:2,0
route__wirelength__iter:2,3002
route__drc_errors,0
route__wirelength,3002
route__vias,964
route__vias__singlecut,964
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,118.55
timing__unannotated_net__count__corner:nom_tt_025C_1v80,4
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,4
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,4
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,1
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.25585498333055595
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2551439132187487
timing__hold__ws__corner:min_tt_025C_1v80,0.32951448058380856
timing__setup__ws__corner:min_tt_025C_1v80,78.86100173872033
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.329514
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,98.718414
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
