net,length_um
net3,251.15µm
net5,227.525µm
clk,207.06µm
net6,189.465µm
winner_state\[1\],180.65µm
winner_state\[0\],180.29µm
net13,167.7µm
net12,159.69µm
net4,159.29µm
net7,151.24µm
net1,148.96µm
pm_11\[3\],124.3µm
pm_00\[0\],123.62µm
net11,118.53µm
net8,112.06µm
pm_00\[1\],82.58µm
clknet_1_0__leaf_clk,80.18µm
pm_01\[3\],79.82µm
pm_10\[2\],79.82µm
net2,79.43µm
pm_00\[2\],78.9µm
pm_00\[3\],78.9µm
pm_01\[0\],78.9µm
pm_01\[1\],78.9µm
pm_01\[2\],78.9µm
pm_10\[0\],78.9µm
pm_10\[1\],78.9µm
pm_10\[3\],78.9µm
pm_11\[0\],78.9µm
pm_11\[1\],78.9µm
pm_11\[2\],78.9µm
net10,78.05µm
bm_01_00\[1\],77.1µm
bm_00_00\[0\],76.78µm
bm_01_00\[0\],76.78µm
bm_10_01\[0\],76.78µm
bm_11_01\[0\],76.78µm
bm_00_00\[1\],75.42µm
bm_00_10\[0\],75.42µm
bm_01_10\[0\],75.42µm
bm_10_01\[1\],75.42µm
bm_10_11\[0\],75.42µm
bm_11_01\[1\],75.42µm
bm_00_10\[1\],74.66µm
bm_01_10\[1\],74.66µm
bm_10_11\[1\],74.66µm
bm_11_11\[0\],74.66µm
bm_11_11\[1\],74.66µm
net9,64.83µm
clknet_0_clk,42.62µm
servivor_select_00,39.54µm
servivor_select_01,39.54µm
servivor_select_11,39.54µm
clknet_1_1__leaf_clk,38.98µm
clr_me,38.78µm
servivor_select_10,38.78µm
start,14µm
rst_n,12.16µm
frame_done,9.18µm
decoded_out[6],6.67µm
received[0],6.33µm
received[1],5.99µm
decoded_out[1],5.31µm
decoded_out[0],5.29µm
decoded_out[2],5.29µm
decoded_out[4],5.29µm
decoded_out[3],3.93µm
decoded_out[5],3.93µm
decoded_out[7],3.93µm
